Pais,Grupo,R2_corr_CA,R3_corr_TB,R4_corr_I,R5_vol_ratio,R6_corr_SI
USA,Desarrollado,-0.2320706161953257,-0.211545446598869,0.5299529182374285,0.7964444519594621,0.6866124826605073
DEU,Desarrollado,-0.021991139654628025,-0.008074520487645684,0.2703677448447093,1.6374842694521423,-0.264921648428521
CHN,Emergente,0.08189020339875287,0.10406738622926269,0.12270139526544012,0.9164318806747895,0.837981967050589
PER,Emergente,-0.24871615386612442,-0.058158871286812686,0.44402634902960725,0.664550148797157,0.5638705706612123
CHL,Emergente,-0.30552837259963694,-0.2711701933574395,0.5010814149194129,0.7070242081666364,0.12421050454326034
KOR,Emergente,-0.6269370374369462,-0.6417353397623318,0.3964837529306548,1.7727435522922521,0.6122126405139835
TUR,Emergente,-0.39294475146770763,-0.4609353774071219,0.3991130718399001,0.965540056377181,0.8095278319513022
